shape,start_node,end_node,osmid,oneway,length
"LINESTRING (-8.6121592 41.1479515, -8.6121602 41.1479214, -8.6121614 41.1478888, -8.6121861 41.1471763)",25620737,25620947,1001166330,True,86.227
"LINESTRING (-8.6121592 41.1479515, -8.6121573 41.1479955, -8.612152 41.148219)",25620737,2246054719,1001166331,True,29.751
"LINESTRING (-8.6112856 41.147888, -8.6113836 41.1478963, -8.6114807 41.1479032, -8.6120814 41.147946, -8.6121592 41.1479515)",25620743,25620737,26119900,True,73.488
"LINESTRING (-8.6112856 41.147888, -8.6113133 41.1477585, -8.6112892 41.1477179, -8.6112716 41.1477025, -8.6112526 41.1476857, -8.6112128 41.1476594, -8.6111771 41.1476496, -8.6111365 41.1476449, -8.6110318 41.1476321, -8.6109827 41.1476261)",25620743,9764806872,"[741944101, 1062979390]",True,48.344
"LINESTRING (-8.6109422 41.1478426, -8.611113 41.1478667, -8.6112856 41.147888)",25620747,25620743,215162243,True,29.195
"LINESTRING (-8.6109422 41.1478426, -8.6109374 41.147861, -8.6108812 41.1480789, -8.6108186 41.1482966, -8.610699 41.1486454, -8.6106718 41.1487177, -8.6106307 41.148827, -8.6105476 41.1490134, -8.6104496 41.1491992)",25620747,25632422,"[856996058, 734630276, 734631501]",True,156.672
"LINESTRING (-8.6121386 41.1488008, -8.6113857 41.1493065, -8.6112234 41.1494158)",25620759,1676280555,8366889,True,102.70599999999999
"LINESTRING (-8.6121861 41.1471763, -8.6122068 41.1460915)",25620947,3388020773,1001166328,False,120.637
"LINESTRING (-8.6121861 41.1471763, -8.6122153 41.1471899, -8.6133682 41.1475478)",25620947,25620948,174689857,True,107.291
"LINESTRING (-8.6133682 41.1475478, -8.6131662 41.1479536, -8.6131551 41.1480043, -8.6131406 41.1481507, -8.613128 41.1482774)",25620948,1386051854,8366901,True,84.355
"LINESTRING (-8.6210997 41.1507093, -8.6230542 41.1502192)",25632226,25632228,8367058,True,172.482
"LINESTRING (-8.6210997 41.1507093, -8.6212767 41.1516791)",25632226,25632227,595164143,False,108.851
"LINESTRING (-8.6210997 41.1507093, -8.6209479 41.1499897, -8.6208752 41.1496431)",25632226,25632230,595164143,False,120.037
"LINESTRING (-8.6212767 41.1516791, -8.6210997 41.1507093)",25632227,25632226,595164143,False,108.851
"LINESTRING (-8.6212767 41.1516791, -8.6231422 41.1506749)",25632227,25632231,726827145,True,192.002
"LINESTRING (-8.6212767 41.1516791, -8.6207584 41.1525043, -8.6207521 41.1525281, -8.6207489 41.1525519, -8.6207549 41.1526088)",25632227,25632361,8367073,False,113.20699999999998
"LINESTRING (-8.6230542 41.1502192, -8.6229257 41.1493674)",25632228,25632229,128823189,True,95.325
"LINESTRING (-8.6230542 41.1502192, -8.6233771 41.1501535, -8.6237067 41.1500785, -8.6237633 41.1500675, -8.6238199 41.1500646, -8.6238659 41.1500779, -8.6239048 41.1500979)",25632228,1422563112,"[128823187, 933397357]",True,74.55
"LINESTRING (-8.6229257 41.1493674, -8.6226637 41.1477709)",25632229,25632362,128823189,True,178.873
"LINESTRING (-8.6229257 41.1493674, -8.6208752 41.1496431)",25632229,25632230,1032038604,True,174.403
"LINESTRING (-8.6208752 41.1496431, -8.6206842 41.1487092)",25632230,2414401915,595164143,False,105.069
