osmid,shape
62950557,POINT(-8.670045 41.1975084)
62952208,POINT(-8.6691942 41.1994637)
62952212,POINT(-8.6685458 41.199473)
62953033,POINT(-8.6690824 41.1987444)
62954778,POINT(-8.6681844 41.1964561)
62966114,POINT(-8.673592 41.2004384)
62966116,POINT(-8.6723307 41.1998933)
64639473,POINT(-8.6657649 41.2003593)
64639474,POINT(-8.6657981 41.2005838)
64639480,POINT(-8.6637936 41.2016754)
64640471,POINT(-8.6606407 41.2008949)
64640472,POINT(-8.6608843 41.2011089)
64640473,POINT(-8.6613627 41.2012731)
64640479,POINT(-8.6629807 41.2007082)
64640480,POINT(-8.6654595 41.2003924)
64641283,POINT(-8.6657121 41.1998726)
64644549,POINT(-8.6627054 41.1994193)
64644554,POINT(-8.6606876 41.2002651)
64644555,POINT(-8.6601776 41.2004975)
64646401,POINT(-8.6656605 41.2011249)
64647236,POINT(-8.6657761 41.2006465)
64647242,POINT(-8.6654577 41.2010321)
64647808,POINT(-8.6668242 41.2006421)
64648108,POINT(-8.6675735 41.2020504)
64648110,POINT(-8.6677006 41.2020843)
64648929,POINT(-8.6683807 41.2021098)
64648931,POINT(-8.6691882 41.2018676)
64648932,POINT(-8.6692225 41.2020161)
64648936,POINT(-8.6664414 41.204378)
64649388,POINT(-8.6676294 41.2034523)
64650619,POINT(-8.6684511 41.2025243)
64652362,POINT(-8.6699636 41.2013593)
64653261,POINT(-8.6703678 41.2008735)
64653265,POINT(-8.6716343 41.2000465)
64653634,POINT(-8.6703211 41.2017384)
64653636,POINT(-8.6716499 41.2013115)
64653702,POINT(-8.6709825 41.2003096)
64653705,POINT(-8.6708549 41.2015929)
64654982,POINT(-8.6730404 41.2016421)
64654984,POINT(-8.6716586 41.2016127)
64655071,POINT(-8.6735986 41.2013635)
64655073,POINT(-8.6716475 41.2010479)
64655296,POINT(-8.6734192 41.2009618)
64655298,POINT(-8.6716469 41.2005292)
64655936,POINT(-8.6730922 41.2004674)
64655938,POINT(-8.6723229 41.2001895)
64656399,POINT(-8.6737842 41.2015907)
64656405,POINT(-8.6741197 41.1999827)
64656708,POINT(-8.6749747 41.2006925)
64659446,POINT(-8.6697251 41.1924363)
