shape,start_node,end_node,osmid,oneway,length
"LINESTRING (-8.539746299999999 41.1162167, -8.539644600000001 41.1161384, -8.5395767 41.1160413, -8.539453200000001 41.1158216, -8.539115199999999 41.1151623, -8.539005299999999 41.1149836, -8.538924099999999 41.1148617, -8.5388348 41.1147587, -8.538714300000001 41.1146263, -8.538248899999999 41.1141447, -8.538119999999999 41.1140161, -8.538009600000001 41.1138967, -8.5379323 41.1137934, -8.5378919 41.1136902, -8.5378224 41.1132574, -8.537786799999999 41.1131699, -8.5377204 41.1130684, -8.537369200000001 41.1127007, -8.5372003 41.1125366, -8.537104299999999 41.1124474, -8.537008200000001 41.1123606, -8.5369379 41.1123096, -8.5368768 41.1122708, -8.5367873 41.1122295, -8.5365196 41.1121296, -8.5364076 41.1120773, -8.5363594 41.1120473, -8.536304899999999 41.1120067, -8.536241800000001 41.111947, -8.5361721 41.1118631, -8.536111500000001 41.1117698, -8.5360546 41.1116642, -8.535952699999999 41.1115116, -8.535879400000001 41.1114255, -8.5357839 41.1113266, -8.535698 41.1112512, -8.535601399999999 41.1111825, -8.535509899999999 41.1111167, -8.535351800000001 41.1110231, -8.535013899999999 41.1108353, -8.5348509 41.110745)",276928809,1556196715,"[331311516, 331311515, 331311380]",False,754.4490000000001
"LINESTRING (-8.539746299999999 41.1162167, -8.540044 41.1163757, -8.5403387 41.1164725, -8.540587199999999 41.1165926, -8.5408595 41.1167879, -8.541077599999999 41.1170039, -8.541168900000001 41.1171436, -8.541235500000001 41.117274, -8.5415636 41.1178777)",276928809,276928801,331311380,False,249.29500000000002
"LINESTRING (-8.5336338 41.1089507, -8.533726700000001 41.1089314, -8.5340373 41.1088857, -8.534294600000001 41.108857, -8.5343643 41.108863, -8.5344327 41.1088869, -8.5345105 41.1089259, -8.534599399999999 41.1089913, -8.5346162 41.1090264, -8.534623699999999 41.1090694, -8.5346656 41.1092942, -8.5347294 41.1096288, -8.5347337 41.1097149)",276928838,1556196381,142182705,False,168.197
"LINESTRING (-8.5336338 41.1089507, -8.5336073 41.1089207, -8.533382 41.1086653, -8.5329522 41.1081782, -8.532679 41.1078685, -8.532190699999999 41.107315, -8.532166399999999 41.1072875)",276928838,1392694391,331311515,False,222.07500000000002
"LINESTRING (-8.5336338 41.1089507, -8.5342498 41.1096543, -8.5343356 41.1097649, -8.534374100000001 41.1098363, -8.534398100000001 41.1098928, -8.534416200000001 41.1099657, -8.534424 41.110106, -8.534426399999999 41.110158)",276928838,1556196475,331311515,False,152.78400000000002
"LINESTRING (-8.5319401 41.107026, -8.5321664 41.1072875)",276928839,1392694391,331311515,False,34.713
"LINESTRING (-8.5319401 41.107026, -8.5319193 41.1070812, -8.5318889 41.1071321, -8.531857499999999 41.1071682, -8.531792100000001 41.1072143)",276928839,1392694412,128432106,False,24.89
"LINESTRING (-8.5319401 41.107026, -8.5318615 41.1069357, -8.5317814 41.1068578, -8.531707300000001 41.1067948, -8.5316609 41.1067614, -8.531584499999999 41.1067148, -8.531514100000001 41.1066835, -8.531415000000001 41.1066447, -8.530738400000001 41.1064444, -8.530544900000001 41.1063913, -8.5304731 41.1063721)",276928839,1556195935,331311515,False,146.68800000000002
"LINESTRING (-8.529532400000001 41.1062668, -8.5295316 41.1063489, -8.529535299999999 41.1063904, -8.529556599999999 41.106506, -8.5295533 41.1065361, -8.5295291 41.1065642, -8.529491800000001 41.1065824, -8.529400300000001 41.1066052, -8.5291009 41.106665, -8.5290093 41.1066899, -8.528592700000001 41.1068868, -8.528532999999999 41.1069412)",276928845,1556195996,142182814,False,128.774
"LINESTRING (-8.529532400000001 41.1062668, -8.5292482 41.1062652, -8.529129899999999 41.1062627, -8.5290357 41.1062693, -8.528942300000001 41.1062757, -8.5287477 41.1063149, -8.5286518 41.1063375, -8.5286045 41.106353, -8.528443599999999 41.1064018, -8.5282798 41.106472, -8.5280144 41.1065967, -8.5274511 41.106885, -8.5273105 41.1069391, -8.527184099999999 41.106953, -8.527082500000001 41.106946, -8.526962299999999 41.1069019, -8.5268976 41.1068485, -8.526854200000001 41.1067914, -8.5268332 41.1067536, -8.5268143 41.1066933, -8.526834600000001 41.1066081, -8.526908600000001 41.1064855, -8.5269944 41.1063649, -8.5271308 41.1061979, -8.527204899999999 41.1061145, -8.527483 41.1059012, -8.5282713 41.1053445, -8.5284779 41.1051897, -8.529097500000001 41.1047487, -8.5292309 41.1046186, -8.529265799999999 41.1045116, -8.5292759 41.1044126, -8.5292552 41.104295, -8.529202400000001 41.1041978, -8.529128099999999 41.1041076, -8.5283189 41.1034574, -8.528124200000001 41.1033178)",276928845,1556195616,331311515,False,755.4499999999998
"LINESTRING (-8.529532400000001 41.1062668, -8.529897 41.1062932, -8.529994200000001 41.1062985, -8.530099 41.106308, -8.5302355 41.1063247, -8.530336500000001 41.1063421)",276928845,1556195930,331311515,False,67.965
"LINESTRING (-8.5108063 41.1166912, -8.511172500000001 41.1167105, -8.5116713 41.1166354, -8.5125367 41.1164283, -8.513603700000001 41.116077, -8.513778800000001 41.1160126, -8.514082200000001 41.1159757, -8.5143694 41.1158314)",276930017,1393281448,128432218,False,317.96299999999997
"LINESTRING (-8.5108063 41.1166912, -8.510821099999999 41.1170842, -8.510826 41.117215)",276930017,1392668325,232089365,False,58.266999999999996
"LINESTRING (-8.5108063 41.1166912, -8.5108687 41.1163433, -8.510853300000001 41.1157212, -8.5106854 41.1152661, -8.5106158 41.1144981, -8.5106062 41.1143924)",276930017,1419378117,232089365,False,258.123
"LINESTRING (-8.511261599999999 41.1185964, -8.5114117 41.1190952, -8.511459 41.1192527, -8.5116266 41.1195902, -8.5116663 41.1196701)",276930020,1556200653,125363272,False,124.381
"LINESTRING (-8.511261599999999 41.1185964, -8.511122500000001 41.1180663, -8.5110961 41.1179642, -8.511043799999999 41.1177621)",276930020,1392657694,125363272,False,94.547
"LINESTRING (-8.511261599999999 41.1185964, -8.509022999999999 41.1188822, -8.508731900000001 41.1189507)",276930020,1556200424,142182606,False,215.745
"LINESTRING (-8.511261599999999 41.1185964, -8.5117651 41.1185709, -8.5118011 41.1184953)",276930020,1556200409,142182693,False,51.204
