osmid,shape
1324802195,POINT(-8.540075 41.1082609)
1324802262,POINT(-8.541563 41.1005305)
1324802940,POINT(-8.5414637 41.1054914)
1324806073,POINT(-8.5410061 41.1061364)
1324808312,POINT(-8.5416534 41.1055544)
1324808346,POINT(-8.5413323 41.1014618)
1324808362,POINT(-8.539372 41.1000328)
1324808396,POINT(-8.540352 41.1004481)
1324808412,POINT(-8.5420782 41.1057058)
1324808711,POINT(-8.5403548 41.1009227)
1324808924,POINT(-8.5430914 41.1006044)
1324812018,POINT(-8.5411261 41.105108)
1326165760,POINT(-8.5373087 41.1323803)
1326165764,POINT(-8.5371757 41.1321737)
1326165778,POINT(-8.5385669 41.1330996)
1326171084,POINT(-8.5289098 41.13589)
1326171085,POINT(-8.5268016 41.1325973)
1326171086,POINT(-8.5478611 41.132105)
1326171089,POINT(-8.5239156 41.1292194)
1326171090,POINT(-8.5481786 41.1314969)
1326171091,POINT(-8.5263671 41.1322377)
1326171092,POINT(-8.524216 41.1295992)
1326171095,POINT(-8.5475984 41.1324539)
1326171096,POINT(-8.546419 41.129575)
1326171097,POINT(-8.5236809 41.1290467)
1326171099,POINT(-8.5246398 41.1299467)
1326171101,POINT(-8.5245539 41.1298094)
1326171928,POINT(-8.5230412 41.1280961)
1326173157,POINT(-8.5226139 41.1266651)
1326177655,POINT(-8.5293341 41.1361783)
1326177657,POINT(-8.5293801 41.136258)
1326177662,POINT(-8.5294046 41.1360991)
1326177670,POINT(-8.5294769 41.1362786)
1326177672,POINT(-8.5295854 41.1361923)
1326177676,POINT(-8.5291705 41.1360411)
1326182323,POINT(-8.533952 41.136481)
1326182325,POINT(-8.5341868 41.1364529)
1326182327,POINT(-8.5341133 41.1365144)
1326182329,POINT(-8.5335511 41.1356418)
1326182339,POINT(-8.5334325 41.1355631)
1326182351,POINT(-8.5335362 41.135661)
1326182357,POINT(-8.534034 41.1363309)
1326184510,POINT(-8.5380764 41.1387762)
1326184512,POINT(-8.5382945 41.1386891)
1326184519,POINT(-8.5381134 41.1387937)
1326188406,POINT(-8.5347773 41.1398964)
1326188424,POINT(-8.5348116 41.1398361)
1326188444,POINT(-8.533792 41.1400838)
1326188454,POINT(-8.5346973 41.1398705)
1326190400,POINT(-8.531671 41.1480161)
1326190402,POINT(-8.5317126 41.1478836)
1326190406,POINT(-8.5314988 41.1480539)
1326190422,POINT(-8.5314465 41.1478089)
1326190424,POINT(-8.5307173 41.1473334)
1326192814,POINT(-8.5251637 41.1422882)
1326192825,POINT(-8.5248763 41.1422376)
1326192827,POINT(-8.5250322 41.1423828)
1326192829,POINT(-8.5249339 41.1421796)
1326192830,POINT(-8.5249835 41.1423805)
1327527062,POINT(-8.5498577 41.1423177)
1327527088,POINT(-8.5466712 41.1376394)
1327527105,POINT(-8.5493229 41.1419089)
1327529262,POINT(-8.5485111 41.1423966)
1327529264,POINT(-8.5474983 41.1426804)
1327546291,POINT(-8.5317548 41.1393945)
1327546297,POINT(-8.5330406 41.1433044)
1327546298,POINT(-8.531697 41.1391361)
1327546302,POINT(-8.5326167 41.1412471)
1383974759,POINT(-8.5028108 41.1481821)
1383974773,POINT(-8.5052995 41.1495357)
1388197594,POINT(-8.5003924 41.138997)
1388197612,POINT(-8.509369 41.1466048)
1388197617,POINT(-8.5004564 41.1401266)
1388197627,POINT(-8.5088548 41.1445276)
1388197645,POINT(-8.5074413 41.1432228)
1388197668,POINT(-8.5076988 41.1423248)
1388197672,POINT(-8.5076424 41.1422047)
1388197676,POINT(-8.5084283 41.1436227)
1389196069,POINT(-8.5018003 41.1255302)
1391962752,POINT(-8.5212753 41.1279102)
1391962759,POINT(-8.5202223 41.1287291)
1391962767,POINT(-8.5199794 41.128732)
1391962778,POINT(-8.5152975 41.1300394)
1391962792,POINT(-8.5237652 41.1291005)
1391962810,POINT(-8.5200049 41.128777)
1391962814,POINT(-8.5148611 41.1279846)
1391962825,POINT(-8.5180651 41.1298682)
1391962837,POINT(-8.5153006 41.1279705)
1391962844,POINT(-8.5201825 41.1286511)
1391962850,POINT(-8.5200151 41.1286536)
1391969174,POINT(-8.5185055 41.1317973)
1391969206,POINT(-8.5209508 41.1287412)
1391969229,POINT(-8.5199887 41.1312114)
1391969243,POINT(-8.521661 41.1288268)
1391969249,POINT(-8.5176451 41.1322139)
1391969261,POINT(-8.5194413 41.1299041)
1391969263,POINT(-8.519553 41.1304462)
1391969264,POINT(-8.5192217 41.1293422)
1392657667,POINT(-8.524691 41.1238133)
1392657694,POINT(-8.5110438 41.1177621)
1392657715,POINT(-8.512457 41.1180238)
1392657718,POINT(-8.5248558 41.1237193)
1392657750,POINT(-8.5246862 41.123733)
1392657751,POINT(-8.5135782 41.1184057)
1392657753,POINT(-8.5247773 41.1236921)
1392657794,POINT(-8.5255364 41.1235576)
1392657799,POINT(-8.5205922 41.1232854)
1392668325,POINT(-8.510826 41.117215)
1392668329,POINT(-8.5107171 41.1173542)
1392668331,POINT(-8.5108493 41.1173657)
1392668332,POINT(-8.5107068 41.1172442)
1392678270,POINT(-8.526927 41.1232204)
1392678274,POINT(-8.5301811 41.1227656)
1392678279,POINT(-8.5274746 41.121968)
1392678293,POINT(-8.5307788 41.1227342)
1392678297,POINT(-8.5283305 41.1228335)
1392678298,POINT(-8.5266475 41.1217395)
1392678309,POINT(-8.5282189 41.1228734)
1392678320,POINT(-8.5305725 41.1220248)
1392694369,POINT(-8.5292447 41.1177098)
1392694377,POINT(-8.5297568 41.1133096)
1392694388,POINT(-8.5286178 41.1082907)
1392694391,POINT(-8.5321664 41.1072875)
1392694412,POINT(-8.5317921 41.1072143)
1392694415,POINT(-8.5295681 41.1161913)
1392694427,POINT(-8.5293515 41.1082936)
1392694435,POINT(-8.5305796 41.1076268)
1392709051,POINT(-8.5181009 41.117792)
1392709109,POINT(-8.5185205 41.1213589)
1392709111,POINT(-8.5182344 41.1178746)
1392709118,POINT(-8.5183209 41.117764)
1393281448,POINT(-8.5143694 41.1158314)
1393281495,POINT(-8.5167057 41.1167285)
